epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,5880.29,1.18649,1.38357,1.20005,0.58105,0.46254,0.4981,0.348,1.17762,1.22964,1.16088,2.94644e-05,2.94644e-05,2.94644e-05
40,6020.68,1.17546,1.37615,1.19181,0.54844,0.48292,0.50205,0.3488,1.17341,1.23228,1.1596,2.71082e-05,2.71082e-05,2.71082e-05
41,6167.67,1.16072,1.29094,1.17002,0.63667,0.43186,0.49043,0.34064,1.18288,1.25504,1.1656,2.4752e-05,2.4752e-05,2.4752e-05
42,6308.9,1.13615,1.25343,1.15655,0.58272,0.46029,0.49325,0.34297,1.17945,1.24991,1.16238,2.23958e-05,2.23958e-05,2.23958e-05
43,6449.53,1.13205,1.23459,1.15338,0.576,0.45145,0.49426,0.34534,1.17977,1.2489,1.16348,2.00396e-05,2.00396e-05,2.00396e-05
44,6590.23,1.13093,1.22407,1.15564,0.55865,0.4696,0.49445,0.34749,1.17616,1.24274,1.16136,1.76834e-05,1.76834e-05,1.76834e-05
45,6731.82,1.1297,1.21895,1.14975,0.56144,0.46912,0.49655,0.34684,1.17513,1.24041,1.16173,1.53272e-05,1.53272e-05,1.53272e-05
46,6898.29,1.11957,1.20507,1.14432,0.5821,0.46278,0.49661,0.34555,1.17665,1.24196,1.16195,1.2971e-05,1.2971e-05,1.2971e-05
47,7059.16,1.12185,1.20571,1.14887,0.56609,0.46947,0.49686,0.34671,1.17614,1.24113,1.16283,1.06148e-05,1.06148e-05,1.06148e-05
48,7204.57,1.12387,1.19928,1.14705,0.57534,0.46137,0.49767,0.34768,1.1751,1.23859,1.16153,8.2586e-06,8.2586e-06,8.2586e-06
49,8263.65,1.11814,1.19432,1.14483,0.56142,0.46974,0.49785,0.34854,1.17438,1.23679,1.16117,5.9024e-06,5.9024e-06,5.9024e-06
50,8479.68,1.12059,1.18875,1.1461,0.59269,0.45192,0.49796,0.34948,1.17556,1.23769,1.16213,3.5462e-06,3.5462e-06,3.5462e-06
